Date,Open,High,Low,Close,Adj Close,Volume
2022-07-22,60.310001,61.840000,59.860001,60.669998,60.178074,3544500
2022-07-25,60.439999,60.439999,59.290001,59.669998,59.186180,3413700
2022-07-26,59.160000,59.430000,58.500000,58.830002,58.353001,3666400
2022-07-27,58.799999,60.349998,57.900002,60.020000,59.533344,4916700
2022-07-28,60.040001,61.070000,59.540001,60.810001,60.316944,3825400
2022-07-29,60.650002,61.259998,59.990002,61.080002,60.584755,2645300
2022-08-01,60.759998,62.160000,60.470001,61.610001,61.110455,3801100
2022-08-02,61.029999,61.259998,59.160000,59.200001,58.719997,4190000
2022-08-03,59.730000,59.959999,58.650002,59.419998,58.938210,2880400
2022-08-04,59.320000,61.209999,59.150002,60.759998,60.267345,4020100
2022-08-05,59.610001,60.820000,59.320000,60.459999,59.969780,3541100
2022-08-08,60.849998,62.139999,60.779999,61.349998,60.852566,2763200
2022-08-09,60.840000,60.990002,59.060001,59.240002,58.759670,2944300
2022-08-10,60.799999,62.290001,60.759998,61.560001,61.060863,3614400
2022-08-11,62.000000,62.939999,61.750000,62.000000,61.497295,2875100
2022-08-12,62.259998,62.950001,61.840000,62.910000,62.399914,1561400
2022-08-15,62.560001,63.150002,62.090000,62.599998,62.092426,1877800
2022-08-16,62.139999,63.580002,61.779999,62.950001,62.439587,2613600
2022-08-17,62.139999,62.540001,61.410000,61.869999,61.368347,3150600
2022-08-18,62.060001,62.110001,61.500000,61.919998,61.417938,1126600
2022-08-19,61.240002,61.430000,59.860001,60.139999,59.652374,2715000
2022-08-22,59.320000,59.680000,58.680000,58.799999,58.323238,2432100
2022-08-23,58.820000,59.349998,58.419998,58.500000,58.025669,1706600
2022-08-24,58.180000,59.919998,57.910000,59.320000,58.839024,2301400
2022-08-25,59.099998,60.520000,58.869999,60.369999,59.880508,1661400
2022-08-26,60.450001,60.490002,57.520000,57.660000,57.192486,2953200
2022-08-29,57.029999,58.000000,56.910000,57.330002,56.865162,1806000
2022-08-30,57.709999,58.029999,56.599998,56.810001,56.349377,3233100
2022-08-31,57.189999,57.200001,55.970001,56.040001,55.585625,2056100
2022-09-01,55.490002,55.900002,54.830002,55.799999,55.347565,4211400
2022-09-02,56.570000,56.860001,55.279999,55.599998,55.149185,2459200
2022-09-06,55.730000,55.799999,54.279999,54.750000,54.306076,3314700
2022-09-07,54.849998,56.220001,54.759998,56.110001,55.655052,2253600
2022-09-08,55.689999,56.599998,55.139999,56.529999,56.071640,1965600
2022-09-09,57.009998,57.880001,56.660000,57.660000,57.192486,1720900
2022-09-12,57.880001,58.810001,57.880001,58.130001,57.658672,1290400
2022-09-13,56.320000,56.380001,54.189999,54.349998,53.909321,2709000
2022-09-14,54.490002,54.619999,53.040001,53.740002,53.304268,2396300
2022-09-15,53.480000,54.849998,53.349998,53.650002,53.214996,2941000
2022-09-16,53.029999,54.529999,53.029999,54.290001,53.849804,5554700
2022-09-19,54.560001,55.570000,54.509998,55.509998,55.059917,2068300
2022-09-20,54.880001,54.950001,53.980000,54.419998,53.978752,2376000
2022-09-21,54.820000,55.560001,53.750000,53.750000,53.314190,3887500
2022-09-22,53.540001,53.939999,52.910000,53.090000,52.659534,2117500
2022-09-23,52.389999,53.200001,52.180000,53.169998,52.738888,3294900
2022-09-26,52.630001,53.110001,51.349998,51.430000,51.156353,2218100
2022-09-27,51.889999,52.500000,50.810001,51.410000,51.136459,3397400
2022-09-28,51.980000,54.340000,51.919998,54.000000,53.712681,4927200
2022-09-29,53.110001,53.130001,52.070000,52.400002,52.121193,2205200
2022-09-30,52.439999,53.099998,51.709999,52.040001,51.763107,1705600
2022-10-03,52.830002,54.529999,52.540001,54.160000,53.871826,3216300
2022-10-04,55.189999,56.590000,55.189999,56.590000,56.288898,3088900
2022-10-05,55.590000,56.389999,55.290001,56.020000,55.721931,2501700
2022-10-06,55.660000,56.689999,55.590000,56.270000,55.970600,2777500
2022-10-07,55.480000,55.669998,54.360001,54.799999,54.508419,1748400
2022-10-10,54.900002,55.290001,54.200001,54.790001,54.498478,1488400
2022-10-11,54.560001,55.810001,54.139999,54.799999,54.508419,1814300
2022-10-12,54.689999,54.930000,53.759998,53.790001,53.503796,2558000
2022-10-13,52.130001,54.230000,50.680000,53.770000,53.483902,4636400
2022-10-14,54.240002,54.450001,51.759998,51.919998,51.643742,2494400
2022-10-17,53.049999,53.779999,52.669998,53.090000,52.807518,1632400
2022-10-18,54.259998,54.930000,53.709999,54.570000,54.279644,3251100
2022-10-19,53.689999,53.830002,51.209999,51.709999,51.434860,3312500
2022-10-20,51.610001,52.700001,50.619999,50.750000,50.479969,2966200
2022-10-21,50.500000,52.500000,50.279999,52.310001,52.031670,5573100
2022-10-24,52.619999,53.360001,52.110001,53.099998,52.817467,2879200
2022-10-25,53.639999,56.169998,53.549999,55.790001,55.493153,4216100
2022-10-26,55.330002,56.290001,55.119999,55.369999,55.075390,2499800
2022-10-27,55.520000,56.669998,55.139999,55.490002,55.194748,2150300
2022-10-28,55.349998,57.049999,55.110001,56.970001,56.666874,2574900
2022-10-31,56.410000,56.570000,55.500000,56.279999,55.980545,1739400
2022-11-01,57.250000,57.540001,55.459999,56.099998,55.801502,2259700
2022-11-02,55.910000,56.669998,53.919998,53.959999,53.672894,3916000
2022-11-03,53.049999,53.700001,52.250000,52.970001,52.688164,2057900
2022-11-04,54.040001,54.900002,52.830002,54.060001,53.772362,2524900
2022-11-07,54.240002,54.590000,53.209999,54.400002,54.110554,1712800
2022-11-08,54.549999,55.110001,53.529999,54.340000,54.050869,2255900
