Rates,Bank rate
Jan-35,2.5
Feb-35,2.5
Mar-35,2.5
Apr-35,2.5
May-35,2.5
Jun-35,2.5
Jul-35,2.5
Aug-35,2.5
Sep-35,2.5
Oct-35,2.5
Nov-35,2.5
Dec-35,2.5
Jan-36,2.5
Feb-36,2.5
Mar-36,2.5
Apr-36,2.5
May-36,2.5
Jun-36,2.5
Jul-36,2.5
Aug-36,2.5
Sep-36,2.5
Oct-36,2.5
Nov-36,2.5
Dec-36,2.5
Jan-37,2.5
Feb-37,2.5
Mar-37,2.5
Apr-37,2.5
May-37,2.5
Jun-37,2.5
Jul-37,2.5
Aug-37,2.5
Sep-37,2.5
Oct-37,2.5
Nov-37,2.5
Dec-37,2.5
Jan-38,2.5
Feb-38,2.5
Mar-38,2.5
Apr-38,2.5
May-38,2.5
Jun-38,2.5
Jul-38,2.5
Aug-38,2.5
Sep-38,2.5
Oct-38,2.5
Nov-38,2.5
Dec-38,2.5
Jan-39,2.5
Feb-39,2.5
Mar-39,2.5
Apr-39,2.5
May-39,2.5
Jun-39,2.5
Jul-39,2.5
Aug-39,2.5
Sep-39,2.5
Oct-39,2.5
Nov-39,2.5
Dec-39,2.5
Jan-40,2.5
Feb-40,2.5
Mar-40,2.5
Apr-40,2.5
May-40,2.5
Jun-40,2.5
Jul-40,2.5
Aug-40,2.5
Sep-40,2.5
Oct-40,2.5
Nov-40,2.5
Dec-40,2.5
Jan-41,2.5
Feb-41,2.5
Mar-41,2.5
Apr-41,2.5
May-41,2.5
Jun-41,2.5
Jul-41,2.5
Aug-41,2.5
Sep-41,2.5
Oct-41,2.5
Nov-41,2.5
Dec-41,2.5
Jan-42,2.5
Feb-42,2.5
Mar-42,2.5
Apr-42,2.5
May-42,2.5
Jun-42,2.5
Jul-42,2.5
Aug-42,2.5
Sep-42,2.5
Oct-42,2.5
Nov-42,2.5
Dec-42,2.5
Jan-43,2.5
Feb-43,2.5
Mar-43,2.5
Apr-43,2.5
May-43,2.5
Jun-43,2.5
Jul-43,2.5
Aug-43,2.5
Sep-43,2.5
Oct-43,2.5
Nov-43,2.5
Dec-43,2.5
Jan-44,2.5
Feb-44,1.5
Mar-44,1.5
Apr-44,1.5
May-44,1.5
Jun-44,1.5
Jul-44,1.5
Aug-44,1.5
Sep-44,1.5
Oct-44,1.5
Nov-44,1.5
Dec-44,1.5
Jan-45,1.5
Feb-45,1.5
Mar-45,1.5
Apr-45,1.5
May-45,1.5
Jun-45,1.5
Jul-45,1.5
Aug-45,1.5
Sep-45,1.5
Oct-45,1.5
Nov-45,1.5
Dec-45,1.5
Jan-46,1.5
Feb-46,1.5
Mar-46,1.5
Apr-46,1.5
May-46,1.5
Jun-46,1.5
Jul-46,1.5
Aug-46,1.5
Sep-46,1.5
Oct-46,1.5
Nov-46,1.5
Dec-46,1.5
Jan-47,1.5
Feb-47,1.5
Mar-47,1.5
Apr-47,1.5
May-47,1.5
Jun-47,1.5
Jul-47,1.5
Aug-47,1.5
Sep-47,1.5
Oct-47,1.5
Nov-47,1.5
Dec-47,1.5
Jan-48,1.5
Feb-48,1.5
Mar-48,1.5
Apr-48,1.5
May-48,1.5
Jun-48,1.5
Jul-48,1.5
Aug-48,1.5
Sep-48,1.5
Oct-48,1.5
Nov-48,1.5
Dec-48,1.5
Jan-49,1.5
Feb-49,1.5
Mar-49,1.5
Apr-49,1.5
May-49,1.5
Jun-49,1.5
Jul-49,1.5
Aug-49,1.5
Sep-49,1.5
Oct-49,1.5
Nov-49,1.5
Dec-49,1.5
Jan-50,1.5
Feb-50,1.5
Mar-50,1.5
Apr-50,1.5
May-50,1.5
Jun-50,1.5
Jul-50,1.5
Aug-50,1.5
Sep-50,1.5
Oct-50,2
Nov-50,2
Dec-50,2
Jan-51,2
Feb-51,2
Mar-51,2
Apr-51,2
May-51,2
Jun-51,2
Jul-51,2
Aug-51,2
Sep-51,2
Oct-51,2
Nov-51,2
Dec-51,2
Jan-52,2
Feb-52,2
Mar-52,2
Apr-52,2
May-52,2
Jun-52,2
Jul-52,2
Aug-52,2
Sep-52,2
Oct-52,2
Nov-52,2
Dec-52,2
Jan-53,2
Feb-53,2
Mar-53,2
Apr-53,2
May-53,2
Jun-53,2
Jul-53,2
Aug-53,2
Sep-53,2
Oct-53,2
Nov-53,2
Dec-53,2
Jan-54,2
Feb-54,2
Mar-54,2
Apr-54,2
May-54,2
Jun-54,2
Jul-54,2
Aug-54,2
Sep-54,2
Oct-54,2
Nov-54,2
Dec-54,2
Jan-55,2
Feb-55,1.5
Mar-55,1.5
Apr-55,1.5
May-55,1.5
Jun-55,1.5
Jul-55,1.5
Aug-55,2
Sep-55,2
Oct-55,2.25
Nov-55,2.75
Dec-55,2.75
Jan-56,2.75
Feb-56,2.75
Mar-56,2.75
Apr-56,3
May-56,3
Jun-56,3
Jul-56,3
Aug-56,3.25
Sep-56,3.25
Oct-56,3.5
Nov-56,3.69
Dec-56,3.89
Jan-57,3.97
Feb-57,4.06
Mar-57,3.94
Apr-57,3.98
May-57,4.01
Jun-57,4.05
Jul-57,4.05
Aug-57,4.33
Sep-57,4.18
Oct-57,4.08
Nov-57,3.76
Dec-57,3.87
Jan-58,3.83
Feb-58,3.28
Mar-58,2.64
Apr-58,1.62
May-58,1.78
Jun-58,1.97
Jul-58,1.22
Aug-58,1.51
Sep-58,2.42
Oct-58,2.73
Nov-58,3.25
Dec-58,3.74
Jan-59,3.71
Feb-59,4.03
Mar-59,4.55
Apr-59,4.97
May-59,5.3
Jun-59,5.47
Jul-59,5.66
Aug-59,6.29
Sep-59,5.85
Oct-59,5.18
Nov-59,5.16
Dec-59,5.37
Jan-60,4.91
Feb-60,4.87
Mar-60,3.66
Apr-60,3.75
May-60,3.24
Jun-60,3.32
Jul-60,3.44
Aug-60,2.5
Sep-60,1.93
Oct-60,3.12
Nov-60,4.02
Dec-60,3.71
Jan-61,3.47
Feb-61,3.11
Mar-61,3.46
Apr-61,3.57
May-61,3.42
Jun-61,2.8
Jul-61,2.88
Aug-61,2.76
Sep-61,2.67
Oct-61,2.74
Nov-61,2.67
Dec-61,3.18
Jan-62,3.35
Feb-62,3.42
Mar-62,3.35
Apr-62,3.35
May-62,3.75
Jun-62,6
Jul-62,6
Aug-62,6
Sep-62,5.5
Oct-62,5
Nov-62,4
Dec-62,4
Jan-63,4
Feb-63,4
Mar-63,4
Apr-63,4
May-63,3.5
Jun-63,3.5
Jul-63,3.5
Aug-63,4
Sep-63,4
Oct-63,4
Nov-63,4
Dec-63,4
Jan-64,4
Feb-64,4
Mar-64,4
Apr-64,4
May-64,4
Jun-64,4
Jul-64,4
Aug-64,4
Sep-64,4
Oct-64,4
Nov-64,4.25
Dec-64,4.25
Jan-65,4.25
Feb-65,4.25
Mar-65,4.25
Apr-65,4.25
May-65,4.25
Jun-65,4.25
Jul-65,4.25
Aug-65,4.25
Sep-65,4.25
Oct-65,4.25
Nov-65,4.25
Dec-65,4.75
Jan-66,4.75
Feb-66,4.75
Mar-66,5.25
Apr-66,5.25
May-66,5.25
Jun-66,5.25
Jul-66,5.25
Aug-66,5.25
Sep-66,5.25
Oct-66,5.25
Nov-66,5.25
Dec-66,5.25
Jan-67,5.25
Feb-67,5
Mar-67,5
Apr-67,4.5
May-67,4.5
Jun-67,4.5
Jul-67,4.5
Aug-67,4.5
Sep-67,5
Oct-67,5
Nov-67,6
Dec-67,6
Jan-68,7
Feb-68,7
Mar-68,7.5
Apr-68,7.5
May-68,7.5
Jun-68,7.5
Jul-68,6.5
Aug-68,6.5
Sep-68,6
Oct-68,6
Nov-68,6
Dec-68,6.5
Jan-69,6.5
Feb-69,6.5
Mar-69,7
Apr-69,7
May-69,7
Jun-69,7.5
Jul-69,8
Aug-69,8
Sep-69,8
Oct-69,8
Nov-69,8
Dec-69,8
Jan-70,8
Feb-70,8
Mar-70,8
Apr-70,8
May-70,7.5
Jun-70,7
Jul-70,7
Aug-70,7
Sep-70,6.5
Oct-70,6.5
Nov-70,6
Dec-70,6
Jan-71,6
Feb-71,5.25
Mar-71,5.25
Apr-71,5.25
May-71,5.25
Jun-71,5.25
Jul-71,5.25
Aug-71,5.25
Sep-71,5.25
Oct-71,4.75
Nov-71,4.75
Dec-71,4.75
Jan-72,4.75
Feb-72,4.75
Mar-72,4.75
Apr-72,4.75
May-72,4.75
Jun-72,4.75
Jul-72,4.75
Aug-72,4.75
Sep-72,4.75
Oct-72,4.75
Nov-72,4.75
Dec-72,4.75
Jan-73,4.75
Feb-73,4.75
Mar-73,4.75
Apr-73,5.25
May-73,5.75
Jun-73,6.25
Jul-73,6.25
Aug-73,6.75
Sep-73,7.25
Oct-73,7.25
Nov-73,7.25
Dec-73,7.25
Jan-74,7.25
Feb-74,7.25
Mar-74,7.25
Apr-74,8.25
May-74,8.75
Jun-74,8.75
Jul-74,9.25
Aug-74,9.25
Sep-74,9.25
Oct-74,9.25
Nov-74,8.75
Dec-74,8.75
Jan-75,8.25
Feb-75,8.25
Mar-75,8.25
Apr-75,8.25
May-75,8.25
Jun-75,8.25
Jul-75,8.25
Aug-75,8.25
Sep-75,9
Oct-75,9
Nov-75,9
Dec-75,9
Jan-76,9
Feb-76,9
Mar-76,9.5
Apr-76,9.5
May-76,9.5
Jun-76,9.5
Jul-76,9.5
Aug-76,9.5
Sep-76,9.5
Oct-76,9.5
Nov-76,9
Dec-76,8.5
Jan-77,8.5
Feb-77,8
Mar-77,8
Apr-77,8
May-77,7.5
Jun-77,7.5
Jul-77,7.5
Aug-77,7.5
Sep-77,7.5
Oct-77,7.5
Nov-77,7.5
Dec-77,7.5
Jan-78,7.5
Feb-78,7.5
Mar-78,8
Apr-78,8.5
May-78,8.5
Jun-78,8.5
Jul-78,9
Aug-78,9
Sep-78,9.5
Oct-78,10.25
Nov-78,10.75
Dec-78,10.75
Jan-79,11.25
Feb-79,11.25
Mar-79,11.25
Apr-79,11.25
May-79,11.25
Jun-79,11.25
Jul-79,11.75
Aug-79,11.75
Sep-79,12.25
Oct-79,14
Nov-79,14
Dec-79,14
Jan-80,14
Feb-80,14
Mar-80,14.79
Apr-80,15.67
May-80,11.83
Jun-80,10.67
Jul-80,10.18
Aug-80,10.45
Sep-80,11.02
Oct-80,11.76
Nov-80,13.06
Dec-80,17.26
Jan-81,17
Feb-81,17.14
Mar-81,16.59
Apr-81,17.4
May-81,19.06
Jun-81,19.07
Jul-81,19.89
Aug-81,21.03
Sep-81,19.63
Oct-81,18.3
Nov-81,15.4
Dec-81,14.66
Jan-82,14.72
Feb-82,14.74
Mar-82,15.11
Apr-82,15.32
May-82,15.32
Jun-82,16.58
Jul-82,15.6
Aug-82,14.26
